",""source"",""target"",""type"",""weight"""
"391,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",4.44444444444444"
"392,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",4.44444444444444"
"393,""Descemer Bueno"",""Zion & Lennox"",""undirected"",4.44444444444444"
"394,""Dua Lipa"",""Martin Garrix"",""undirected"",4"
"395,""Katy Perry"",""Skip Marley"",""undirected"",3.33333333333333"
"396,""The Chainsmokers"",""Emily Warren"",""undirected"",3.07692307692308"
"397,""Louis Tomlinson"",""Steve Aoki"",""undirected"",2.35294117647059"
"398,""Tini"",""Sebastián Yatra"",""undirected"",2.10526315789474"
"399,""Armin Van Buuren"",""Fernando Garibay"",""undirected"",2"
"400,""Armin Van Buuren"",""Olaf Blackwood"",""undirected"",2"
"401,""Fernando Garibay"",""Olaf Blackwood"",""undirected"",2"
"402,""Major Lazer"",""Nicki Minaj"",""undirected"",1.9047619047619"
"403,""Major Lazer"",""PartyNextDoor"",""undirected"",1.9047619047619"
"404,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.9047619047619"
"405,""Martin Solveig"",""Ina Wroldsen"",""undirected"",1.73913043478261"
"406,""Shakira"",""Maluma"",""undirected"",1.48148148148148"
"407,""Clean Bandit"",""Anne-Marie"",""undirected"",1.42857142857143"
"408,""Clean Bandit"",""Sean Paul"",""undirected"",1.42857142857143"
"409,""Anne-Marie"",""Sean Paul"",""undirected"",1.42857142857143"
"410,""Zedd"",""Alessia Cara"",""undirected"",1.33333333333333"
"411,""Maluma"",""Ricky Martin"",""undirected"",1.29032258064516"
"412,""David Guetta"",""Robin Schulz"",""undirected"",1.25"
"413,""David Guetta"",""Cheat Codes"",""undirected"",1.25"
"414,""Robin Schulz"",""Cheat Codes"",""undirected"",1.25"
"415,""Cédric Gervais"",""Chris Willis"",""undirected"",1.17647058823529"
"416,""Cédric Gervais"",""David Guetta"",""undirected"",1.17647058823529"
"417,""Chris Willis"",""David Guetta"",""undirected"",1.17647058823529"
"418,""The Weeknd"",""Daft Punk"",""undirected"",1.11111111111111"
"419,""Sean Paul"",""Dua Lipa"",""undirected"",1.08108108108108"
"420,""Luis Fonsi"",""Daddy Yankee"",""undirected"",40"
"421,""The Weeknd"",""Daft Punk"",""undirected"",10"
"422,""Kygo"",""Selena Gomez"",""undirected"",5.71428571428571"
"423,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",5"
"424,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",5"
"425,""Descemer Bueno"",""Zion & Lennox"",""undirected"",5"
"426,""Dua Lipa"",""Martin Garrix"",""undirected"",4.44444444444444"
"427,""Zayn Malik"",""Taylor Swift"",""undirected"",3.33333333333333"
"428,""Katy Perry"",""Skip Marley"",""undirected"",3.07692307692308"
"429,""The Chainsmokers"",""Emily Warren"",""undirected"",2.66666666666667"
"430,""Ariana Grande"",""Future"",""undirected"",2.5"
"431,""Louis Tomlinson"",""Steve Aoki"",""undirected"",2.35294117647059"
"432,""Armin Van Buuren"",""Fernando Garibay"",""undirected"",2.10526315789474"
"433,""Armin Van Buuren"",""Olaf Blackwood"",""undirected"",2.10526315789474"
"434,""Fernando Garibay"",""Olaf Blackwood"",""undirected"",2.10526315789474"
"435,""The Chainsmokers"",""Coldplay"",""undirected"",2"
"436,""Major Lazer"",""Nicki Minaj"",""undirected"",1.9047619047619"
"437,""Major Lazer"",""PartyNextDoor"",""undirected"",1.9047619047619"
"438,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.9047619047619"
"439,""Zedd"",""Alessia Cara"",""undirected"",1.48148148148148"
"440,""Tini"",""Sebastián Yatra"",""undirected"",1.42857142857143"
"441,""Martin Solveig"",""Ina Wroldsen"",""undirected"",1.37931034482759"
"442,""Shakira"",""Maluma"",""undirected"",1.29032258064516"
"443,""Maluma"",""Ricky Martin"",""undirected"",1.25"
"444,""Clean Bandit"",""Anne-Marie"",""undirected"",1.17647058823529"
"445,""Clean Bandit"",""Sean Paul"",""undirected"",1.17647058823529"
"446,""Anne-Marie"",""Sean Paul"",""undirected"",1.17647058823529"
"447,""David Guetta"",""Robin Schulz"",""undirected"",1.14285714285714"
"448,""David Guetta"",""Cheat Codes"",""undirected"",1.14285714285714"
"449,""Robin Schulz"",""Cheat Codes"",""undirected"",1.14285714285714"
"450,""The Weeknd"",""Daft Punk"",""undirected"",1.02564102564103"
"451,""Luis Fonsi"",""Daddy Yankee"",""undirected"",20"
"452,""The Weeknd"",""Daft Punk"",""undirected"",10"
"453,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",6.66666666666667"
"454,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",6.66666666666667"
"455,""Descemer Bueno"",""Zion & Lennox"",""undirected"",6.66666666666667"
"456,""Kygo"",""Selena Gomez"",""undirected"",5.71428571428571"
"457,""Dua Lipa"",""Martin Garrix"",""undirected"",5"
"458,""The Chainsmokers"",""Coldplay"",""undirected"",3.33333333333333"
"459,""Ariana Grande"",""Future"",""undirected"",2.85714285714286"
"460,""Maroon 5"",""Future"",""undirected"",2.66666666666667"
"461,""Zayn Malik"",""Taylor Swift"",""undirected"",2.5"
"462,""Katy Perry"",""Skip Marley"",""undirected"",2.35294117647059"
"463,""Louis Tomlinson"",""Steve Aoki"",""undirected"",2.10526315789474"
"464,""Armin Van Buuren"",""Fernando Garibay"",""undirected"",2"
"465,""Armin Van Buuren"",""Olaf Blackwood"",""undirected"",2"
"466,""Fernando Garibay"",""Olaf Blackwood"",""undirected"",2"
"467,""The Chainsmokers"",""Emily Warren"",""undirected"",1.73913043478261"
"468,""Wisin"",""Ozuna"",""undirected"",1.6"
"469,""Major Lazer"",""Nicki Minaj"",""undirected"",1.53846153846154"
"470,""Major Lazer"",""PartyNextDoor"",""undirected"",1.53846153846154"
"471,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.53846153846154"
"472,""Zedd"",""Alessia Cara"",""undirected"",1.42857142857143"
"473,""Clean Bandit"",""Anne-Marie"",""undirected"",1.33333333333333"
"474,""Clean Bandit"",""Sean Paul"",""undirected"",1.33333333333333"
"475,""Anne-Marie"",""Sean Paul"",""undirected"",1.33333333333333"
"476,""Martin Solveig"",""Ina Wroldsen"",""undirected"",1.17647058823529"
"477,""Prince Royce"",""Shakira"",""undirected"",1.14285714285714"
"478,""Tini"",""Sebastián Yatra"",""undirected"",1.11111111111111"
"479,""Maluma"",""Ricky Martin"",""undirected"",1.08108108108108"
"480,""David Guetta"",""Robin Schulz"",""undirected"",1.05263157894737"
"481,""David Guetta"",""Cheat Codes"",""undirected"",1.05263157894737"
"482,""Robin Schulz"",""Cheat Codes"",""undirected"",1.05263157894737"
"483,""Shakira"",""Maluma"",""undirected"",1"
"484,""Luis Fonsi"",""Daddy Yankee"",""undirected"",13.3333333333333"
"485,""The Weeknd"",""Daft Punk"",""undirected"",10"
"486,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",8"
"487,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",8"
"488,""Descemer Bueno"",""Zion & Lennox"",""undirected"",8"
"489,""Kygo"",""Selena Gomez"",""undirected"",6.66666666666667"
"490,""The Chainsmokers"",""Coldplay"",""undirected"",3.63636363636364"
"491,""Dua Lipa"",""Martin Garrix"",""undirected"",3.33333333333333"
"492,""Maroon 5"",""Future"",""undirected"",3.07692307692308"
"493,""Ariana Grande"",""Future"",""undirected"",2.85714285714286"
"494,""Katy Perry"",""Skip Marley"",""undirected"",2.10526315789474"
"495,""J Balvin"",""Pitbull"",""undirected"",2"
"496,""J Balvin"",""Camila Cabello"",""undirected"",2"
"497,""Pitbull"",""Camila Cabello"",""undirected"",2"
"498,""Major Lazer"",""Nicki Minaj"",""undirected"",1.9047619047619"
"499,""Major Lazer"",""PartyNextDoor"",""undirected"",1.9047619047619"
"500,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.9047619047619"
"501,""Zedd"",""Alessia Cara"",""undirected"",1.73913043478261"
"502,""Clean Bandit"",""Anne-Marie"",""undirected"",1.66666666666667"
"503,""Clean Bandit"",""Sean Paul"",""undirected"",1.66666666666667"
"504,""Anne-Marie"",""Sean Paul"",""undirected"",1.66666666666667"
"505,""Louis Tomlinson"",""Steve Aoki"",""undirected"",1.6"
"506,""Zayn Malik"",""Taylor Swift"",""undirected"",1.48148148148148"
"507,""Armin Van Buuren"",""Fernando Garibay"",""undirected"",1.33333333333333"
"508,""Armin Van Buuren"",""Olaf Blackwood"",""undirected"",1.33333333333333"
"509,""Fernando Garibay"",""Olaf Blackwood"",""undirected"",1.33333333333333"
"510,""The Chainsmokers"",""Emily Warren"",""undirected"",1.29032258064516"
"511,""Wisin"",""Ozuna"",""undirected"",1.25"
"512,""Prince Royce"",""Shakira"",""undirected"",1.17647058823529"
"513,""Maluma"",""Ricky Martin"",""undirected"",1.08108108108108"
"514,""David Guetta"",""Robin Schulz"",""undirected"",1.02564102564103"
"515,""David Guetta"",""Cheat Codes"",""undirected"",1.02564102564103"
"516,""Robin Schulz"",""Cheat Codes"",""undirected"",1.02564102564103"
"517,""Shakira"",""Maluma"",""undirected"",1"
"518,""Luis Fonsi"",""Daddy Yankee"",""undirected"",20"
"519,""The Weeknd"",""Daft Punk"",""undirected"",6.66666666666667"
"520,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",5.71428571428571"
"521,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",5.71428571428571"
"522,""Descemer Bueno"",""Zion & Lennox"",""undirected"",5.71428571428571"
"523,""The Chainsmokers"",""Coldplay"",""undirected"",5"
"524,""Kygo"",""Selena Gomez"",""undirected"",3.63636363636364"
"525,""Dua Lipa"",""Martin Garrix"",""undirected"",2.85714285714286"
"526,""Calvin Harris"",""Ariana Grande"",""undirected"",2.66666666666667"
"527,""Calvin Harris"",""Pharrell Williams"",""undirected"",2.66666666666667"
"528,""Calvin Harris"",""Young Thug"",""undirected"",2.66666666666667"
"529,""Ariana Grande"",""Pharrell Williams"",""undirected"",2.66666666666667"
"530,""Ariana Grande"",""Young Thug"",""undirected"",2.66666666666667"
"531,""Pharrell Williams"",""Young Thug"",""undirected"",2.66666666666667"
"532,""J Balvin"",""Pitbull"",""undirected"",2.5"
"533,""J Balvin"",""Camila Cabello"",""undirected"",2.5"
"534,""Pitbull"",""Camila Cabello"",""undirected"",2.5"
"535,""Maroon 5"",""Future"",""undirected"",2.35294117647059"
"536,""Katy Perry"",""Skip Marley"",""undirected"",2.10526315789474"
"537,""Ariana Grande"",""Future"",""undirected"",1.66666666666667"
"538,""Zedd"",""Alessia Cara"",""undirected"",1.6"
"539,""Clean Bandit"",""Anne-Marie"",""undirected"",1.53846153846154"
"540,""Clean Bandit"",""Sean Paul"",""undirected"",1.53846153846154"
"541,""Anne-Marie"",""Sean Paul"",""undirected"",1.53846153846154"
"542,""Louis Tomlinson"",""Steve Aoki"",""undirected"",1.48148148148148"
"543,""Major Lazer"",""Nicki Minaj"",""undirected"",1.42857142857143"
"544,""Major Lazer"",""PartyNextDoor"",""undirected"",1.42857142857143"
"545,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.42857142857143"
"546,""Prince Royce"",""Shakira"",""undirected"",1.37931034482759"
"547,""Maluma"",""Ricky Martin"",""undirected"",1.25"
"548,""Zayn Malik"",""Taylor Swift"",""undirected"",1.21212121212121"
"549,""The Chainsmokers"",""Emily Warren"",""undirected"",1.11111111111111"
"550,""Shakira"",""Maluma"",""undirected"",1.08108108108108"
"551,""David Guetta"",""Robin Schulz"",""undirected"",1.02564102564103"
"552,""David Guetta"",""Cheat Codes"",""undirected"",1.02564102564103"
"553,""Robin Schulz"",""Cheat Codes"",""undirected"",1.02564102564103"
"554,""Wisin"",""Ozuna"",""undirected"",1"
"555,""Luis Fonsi"",""Daddy Yankee"",""undirected"",20"
"556,""The Chainsmokers"",""Coldplay"",""undirected"",8"
"557,""Calvin Harris"",""Ariana Grande"",""undirected"",3.33333333333333"
"558,""Calvin Harris"",""Pharrell Williams"",""undirected"",3.33333333333333"
"559,""Calvin Harris"",""Young Thug"",""undirected"",3.33333333333333"
"560,""Ariana Grande"",""Pharrell Williams"",""undirected"",3.33333333333333"
"561,""Ariana Grande"",""Young Thug"",""undirected"",3.33333333333333"
"562,""Pharrell Williams"",""Young Thug"",""undirected"",3.33333333333333"
"563,""The Weeknd"",""Daft Punk"",""undirected"",3.07692307692308"
"564,""J Balvin"",""Pitbull"",""undirected"",2.85714285714286"
"565,""J Balvin"",""Camila Cabello"",""undirected"",2.85714285714286"
"566,""Pitbull"",""Camila Cabello"",""undirected"",2.85714285714286"
"567,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",2.66666666666667"
"568,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",2.66666666666667"
"569,""Descemer Bueno"",""Zion & Lennox"",""undirected"",2.66666666666667"
"570,""Kygo"",""Selena Gomez"",""undirected"",2.5"
"571,""Dua Lipa"",""Martin Garrix"",""undirected"",2.35294117647059"
"572,""Maroon 5"",""Future"",""undirected"",2.22222222222222"
"573,""Prince Royce"",""Shakira"",""undirected"",1.9047619047619"
"574,""Zedd"",""Alessia Cara"",""undirected"",1.73913043478261"
"575,""Major Lazer"",""Nicki Minaj"",""undirected"",1.66666666666667"
"576,""Major Lazer"",""PartyNextDoor"",""undirected"",1.66666666666667"
"577,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.66666666666667"
"578,""Wisin"",""Ozuna"",""undirected"",1.6"
"579,""Clean Bandit"",""Anne-Marie"",""undirected"",1.53846153846154"
"580,""Clean Bandit"",""Sean Paul"",""undirected"",1.53846153846154"
"581,""Anne-Marie"",""Sean Paul"",""undirected"",1.53846153846154"
"582,""Louis Tomlinson"",""Steve Aoki"",""undirected"",1.48148148148148"
"583,""Katy Perry"",""Skip Marley"",""undirected"",1.42857142857143"
"584,""Maluma"",""Ricky Martin"",""undirected"",1.33333333333333"
"585,""Ariana Grande"",""Future"",""undirected"",1.25"
"586,""The Chainsmokers"",""Emily Warren"",""undirected"",1.08108108108108"
"587,""Zayn Malik"",""Taylor Swift"",""undirected"",1.05263157894737"
"588,""Shakira"",""Maluma"",""undirected"",1"
"589,""Luis Fonsi"",""Daddy Yankee"",""undirected"",20"
"590,""The Chainsmokers"",""Coldplay"",""undirected"",5.71428571428571"
"591,""The Weeknd"",""Daft Punk"",""undirected"",3.33333333333333"
"592,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",2.85714285714286"
"593,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",2.85714285714286"
"594,""Descemer Bueno"",""Zion & Lennox"",""undirected"",2.85714285714286"
"595,""Calvin Harris"",""Ariana Grande"",""undirected"",2.66666666666667"
"596,""Calvin Harris"",""Pharrell Williams"",""undirected"",2.66666666666667"
"597,""Calvin Harris"",""Young Thug"",""undirected"",2.66666666666667"
"598,""Ariana Grande"",""Pharrell Williams"",""undirected"",2.66666666666667"
"599,""Ariana Grande"",""Young Thug"",""undirected"",2.66666666666667"
"600,""Pharrell Williams"",""Young Thug"",""undirected"",2.66666666666667"
"601,""Kygo"",""Selena Gomez"",""undirected"",2.5"
"602,""Prince Royce"",""Shakira"",""undirected"",2.22222222222222"
"603,""Clean Bandit"",""Anne-Marie"",""undirected"",2"
"604,""Clean Bandit"",""Sean Paul"",""undirected"",2"
"605,""Anne-Marie"",""Sean Paul"",""undirected"",2"
"606,""Dua Lipa"",""Martin Garrix"",""undirected"",1.9047619047619"
"607,""J Balvin"",""Pitbull"",""undirected"",1.81818181818182"
"608,""J Balvin"",""Camila Cabello"",""undirected"",1.81818181818182"
"609,""Pitbull"",""Camila Cabello"",""undirected"",1.81818181818182"
"610,""Maroon 5"",""Future"",""undirected"",1.73913043478261"
"611,""Zedd"",""Alessia Cara"",""undirected"",1.6"
"612,""Louis Tomlinson"",""Steve Aoki"",""undirected"",1.53846153846154"
"613,""Maluma"",""Ricky Martin"",""undirected"",1.48148148148148"
"614,""Major Lazer"",""Nicki Minaj"",""undirected"",1.42857142857143"
"615,""Major Lazer"",""PartyNextDoor"",""undirected"",1.42857142857143"
"616,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.42857142857143"
"617,""Katy Perry"",""Skip Marley"",""undirected"",1.37931034482759"
"618,""Martin Jensen"",""The Vamps"",""undirected"",1.33333333333333"
"619,""Ariana Grande"",""Future"",""undirected"",1.25"
"620,""The Chainsmokers"",""Emily Warren"",""undirected"",1.05263157894737"
"621,""Shakira"",""Maluma"",""undirected"",1.02564102564103"
"622,""Zayn Malik"",""Taylor Swift"",""undirected"",1"
"623,""Luis Fonsi"",""Daddy Yankee"",""undirected"",40"
"624,""Calvin Harris"",""Ariana Grande"",""undirected"",4"
"625,""Calvin Harris"",""Pharrell Williams"",""undirected"",4"
"626,""Calvin Harris"",""Young Thug"",""undirected"",4"
"627,""Ariana Grande"",""Pharrell Williams"",""undirected"",4"
"628,""Ariana Grande"",""Young Thug"",""undirected"",4"
"629,""Pharrell Williams"",""Young Thug"",""undirected"",4"
"630,""The Chainsmokers"",""Coldplay"",""undirected"",3.63636363636364"
"631,""Clean Bandit"",""Zara Larsson"",""undirected"",3.33333333333333"
"632,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",3.07692307692308"
"633,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",3.07692307692308"
"634,""Descemer Bueno"",""Zion & Lennox"",""undirected"",3.07692307692308"
"635,""Prince Royce"",""Shakira"",""undirected"",2.66666666666667"
"636,""J Balvin"",""Pitbull"",""undirected"",2.22222222222222"
"637,""J Balvin"",""Camila Cabello"",""undirected"",2.22222222222222"
"638,""Pitbull"",""Camila Cabello"",""undirected"",2.22222222222222"
"639,""The Weeknd"",""Daft Punk"",""undirected"",2.10526315789474"
"640,""Kygo"",""Selena Gomez"",""undirected"",1.9047619047619"
"641,""Ariana Grande"",""Future"",""undirected"",1.81818181818182"
"642,""Dua Lipa"",""Martin Garrix"",""undirected"",1.6"
"643,""Maluma"",""Ricky Martin"",""undirected"",1.53846153846154"
"644,""Zedd"",""Alessia Cara"",""undirected"",1.48148148148148"
"645,""Clean Bandit"",""Anne-Marie"",""undirected"",1.42857142857143"
"646,""Clean Bandit"",""Sean Paul"",""undirected"",1.42857142857143"
"647,""Anne-Marie"",""Sean Paul"",""undirected"",1.42857142857143"
"648,""Martin Jensen"",""The Vamps"",""undirected"",1.37931034482759"
"649,""Major Lazer"",""Nicki Minaj"",""undirected"",1.33333333333333"
"650,""Major Lazer"",""PartyNextDoor"",""undirected"",1.33333333333333"
"651,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.33333333333333"
"652,""Maroon 5"",""Future"",""undirected"",1.21212121212121"
"653,""Louis Tomlinson"",""Steve Aoki"",""undirected"",1.17647058823529"
"654,""Katy Perry"",""Skip Marley"",""undirected"",1.14285714285714"
"655,""The Chainsmokers"",""Emily Warren"",""undirected"",1.02564102564103"
"656,""Luis Fonsi"",""Daddy Yankee"",""undirected"",20"
"657,""Clean Bandit"",""Zara Larsson"",""undirected"",5"
"658,""Calvin Harris"",""Ariana Grande"",""undirected"",3.63636363636364"
"659,""Calvin Harris"",""Pharrell Williams"",""undirected"",3.63636363636364"
"660,""Calvin Harris"",""Young Thug"",""undirected"",3.63636363636364"
"661,""Ariana Grande"",""Pharrell Williams"",""undirected"",3.63636363636364"
"662,""Ariana Grande"",""Young Thug"",""undirected"",3.63636363636364"
"663,""Pharrell Williams"",""Young Thug"",""undirected"",3.63636363636364"
"664,""The Chainsmokers"",""Coldplay"",""undirected"",3.07692307692308"
"665,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",2.85714285714286"
"666,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",2.85714285714286"
"667,""Descemer Bueno"",""Zion & Lennox"",""undirected"",2.85714285714286"
"668,""DNCE"",""Nicki Minaj"",""undirected"",2.66666666666667"
"669,""Ken-Y"",""Nicky Jam"",""undirected"",2.5"
"670,""Prince Royce"",""Shakira"",""undirected"",2.22222222222222"
"671,""J Balvin"",""Pitbull"",""undirected"",2.10526315789474"
"672,""J Balvin"",""Camila Cabello"",""undirected"",2.10526315789474"
"673,""Pitbull"",""Camila Cabello"",""undirected"",2.10526315789474"
"674,""Ariana Grande"",""Future"",""undirected"",1.9047619047619"
"675,""The Weeknd"",""Daft Punk"",""undirected"",1.66666666666667"
"676,""Kygo"",""Selena Gomez"",""undirected"",1.6"
"677,""Maluma"",""Ricky Martin"",""undirected"",1.53846153846154"
"678,""Dua Lipa"",""Martin Garrix"",""undirected"",1.48148148148148"
"679,""Zedd"",""Alessia Cara"",""undirected"",1.42857142857143"
"680,""Martin Jensen"",""The Vamps"",""undirected"",1.37931034482759"
"681,""Major Lazer"",""Nicki Minaj"",""undirected"",1.25"
"682,""Major Lazer"",""PartyNextDoor"",""undirected"",1.25"
"683,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.25"
"684,""Maroon 5"",""Future"",""undirected"",1.17647058823529"
"685,""Clean Bandit"",""Anne-Marie"",""undirected"",1.14285714285714"
"686,""Clean Bandit"",""Sean Paul"",""undirected"",1.14285714285714"
"687,""Anne-Marie"",""Sean Paul"",""undirected"",1.14285714285714"
"688,""Louis Tomlinson"",""Steve Aoki"",""undirected"",1.11111111111111"
"689,""The Chainsmokers"",""Emily Warren"",""undirected"",1.08108108108108"
"690,""Katy Perry"",""Skip Marley"",""undirected"",1.02564102564103"
"691,""Luis Fonsi"",""Daddy Yankee"",""undirected"",13.3333333333333"
"692,""Jason Derülo"",""Nicki Minaj"",""undirected"",10"
"693,""Jason Derülo"",""Ty Dolla $ign"",""undirected"",10"
"694,""Nicki Minaj"",""Ty Dolla $ign"",""undirected"",10"
"695,""Calvin Harris"",""Ariana Grande"",""undirected"",4"
"696,""Calvin Harris"",""Pharrell Williams"",""undirected"",4"
"697,""Calvin Harris"",""Young Thug"",""undirected"",4"
"698,""Ariana Grande"",""Pharrell Williams"",""undirected"",4"
"699,""Ariana Grande"",""Young Thug"",""undirected"",4"
"700,""Pharrell Williams"",""Young Thug"",""undirected"",4"
"701,""DNCE"",""Nicki Minaj"",""undirected"",3.63636363636364"
"702,""Clean Bandit"",""Zara Larsson"",""undirected"",2.85714285714286"
"703,""The Chainsmokers"",""Coldplay"",""undirected"",2.66666666666667"
"704,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",2.5"
"705,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",2.5"
"706,""Descemer Bueno"",""Zion & Lennox"",""undirected"",2.5"
"707,""Nicky Jam"",""Wisin"",""undirected"",2.35294117647059"
"708,""Prince Royce"",""Shakira"",""undirected"",2.22222222222222"
"709,""Ariana Grande"",""Future"",""undirected"",2.10526315789474"
"710,""J Balvin"",""Pitbull"",""undirected"",1.81818181818182"
"711,""J Balvin"",""Camila Cabello"",""undirected"",1.81818181818182"
"712,""Pitbull"",""Camila Cabello"",""undirected"",1.81818181818182"
"713,""Maluma"",""Ricky Martin"",""undirected"",1.6"
"714,""Kygo"",""Selena Gomez"",""undirected"",1.48148148148148"
"715,""Martin Jensen"",""The Vamps"",""undirected"",1.42857142857143"
"716,""The Weeknd"",""Daft Punk"",""undirected"",1.37931034482759"
"717,""Zedd"",""Alessia Cara"",""undirected"",1.33333333333333"
"718,""Dua Lipa"",""Martin Garrix"",""undirected"",1.29032258064516"
"719,""Wisin"",""Ozuna"",""undirected"",1.14285714285714"
"720,""Louis Tomlinson"",""Steve Aoki"",""undirected"",1.11111111111111"
"721,""Major Lazer"",""Nicki Minaj"",""undirected"",1.08108108108108"
"722,""Major Lazer"",""PartyNextDoor"",""undirected"",1.08108108108108"
"723,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.08108108108108"
"724,""Maroon 5"",""Future"",""undirected"",1.05263157894737"
"725,""Katy Perry"",""Skip Marley"",""undirected"",1.02564102564103"
"726,""Clean Bandit"",""Anne-Marie"",""undirected"",1"
"727,""Clean Bandit"",""Sean Paul"",""undirected"",1"
"728,""Anne-Marie"",""Sean Paul"",""undirected"",1"
"729,""Luis Fonsi"",""Daddy Yankee"",""undirected"",20"
"730,""Jason Derülo"",""Nicki Minaj"",""undirected"",8"
"731,""Jason Derülo"",""Ty Dolla $ign"",""undirected"",8"
"732,""Nicki Minaj"",""Ty Dolla $ign"",""undirected"",8"
"733,""Calvin Harris"",""Ariana Grande"",""undirected"",4.44444444444444"
"734,""Calvin Harris"",""Pharrell Williams"",""undirected"",4.44444444444444"
"735,""Calvin Harris"",""Young Thug"",""undirected"",4.44444444444444"
"736,""Ariana Grande"",""Pharrell Williams"",""undirected"",4.44444444444444"
"737,""Ariana Grande"",""Young Thug"",""undirected"",4.44444444444444"
"738,""Pharrell Williams"",""Young Thug"",""undirected"",4.44444444444444"
"739,""Clean Bandit"",""Zara Larsson"",""undirected"",3.07692307692308"
"740,""Ariana Grande"",""Future"",""undirected"",2.66666666666667"
"741,""DNCE"",""Nicki Minaj"",""undirected"",2.5"
"742,""The Chainsmokers"",""Coldplay"",""undirected"",2.35294117647059"
"743,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",2.22222222222222"
"744,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",2.22222222222222"
"745,""Descemer Bueno"",""Zion & Lennox"",""undirected"",2.22222222222222"
"746,""Prince Royce"",""Shakira"",""undirected"",2.10526315789474"
"747,""Gorillaz"",""D.R.A.M."",""undirected"",2"
"748,""Nicky Jam"",""Wisin"",""undirected"",1.9047619047619"
"749,""J Balvin"",""Pitbull"",""undirected"",1.81818181818182"
"750,""J Balvin"",""Camila Cabello"",""undirected"",1.81818181818182"
"751,""Pitbull"",""Camila Cabello"",""undirected"",1.81818181818182"
"752,""Maluma"",""Ricky Martin"",""undirected"",1.6"
"753,""Martin Jensen"",""The Vamps"",""undirected"",1.48148148148148"
"754,""Zedd"",""Alessia Cara"",""undirected"",1.37931034482759"
"755,""Kygo"",""Selena Gomez"",""undirected"",1.29032258064516"
"756,""Dua Lipa"",""Martin Garrix"",""undirected"",1.25"
"757,""Wisin"",""Ozuna"",""undirected"",1.21212121212121"
"758,""The Weeknd"",""Daft Punk"",""undirected"",1.17647058823529"
"759,""Clean Bandit"",""Anne-Marie"",""undirected"",1.08108108108108"
"760,""Clean Bandit"",""Sean Paul"",""undirected"",1.08108108108108"
"761,""Anne-Marie"",""Sean Paul"",""undirected"",1.08108108108108"
"762,""Major Lazer"",""Nicki Minaj"",""undirected"",1.02564102564103"
"763,""Major Lazer"",""PartyNextDoor"",""undirected"",1.02564102564103"
"764,""Nicki Minaj"",""PartyNextDoor"",""undirected"",1.02564102564103"
"765,""Louis Tomlinson"",""Steve Aoki"",""undirected"",1"
"766,""Jason Derülo"",""Nicki Minaj"",""undirected"",13.3333333333333"
"767,""Jason Derülo"",""Ty Dolla $ign"",""undirected"",13.3333333333333"
"768,""Nicki Minaj"",""Ty Dolla $ign"",""undirected"",13.3333333333333"
"769,""Luis Fonsi"",""Daddy Yankee"",""undirected"",10"
"770,""Calvin Harris"",""Ariana Grande"",""undirected"",3.33333333333333"
"771,""Calvin Harris"",""Pharrell Williams"",""undirected"",3.33333333333333"
"772,""Calvin Harris"",""Young Thug"",""undirected"",3.33333333333333"
"773,""Ariana Grande"",""Pharrell Williams"",""undirected"",3.33333333333333"
"774,""Ariana Grande"",""Young Thug"",""undirected"",3.33333333333333"
"775,""Pharrell Williams"",""Young Thug"",""undirected"",3.33333333333333"
"776,""Ariana Grande"",""Future"",""undirected"",2.85714285714286"
"777,""Clean Bandit"",""Zara Larsson"",""undirected"",2.66666666666667"
"778,""DNCE"",""Nicki Minaj"",""undirected"",2.5"
"779,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",2.35294117647059"
